Date,Name,NID
01-01-2020,New Year's Day,0
02-01-2020,Guru Govind Singh Jayanti,0
14-01-2020,Lohri,0
15-01-2020,Pongal,0
15-01-2020,Makar Sankranti,0
25-01-2020,Chinese New Year,0
26-01-2020,Republic Day,0
29-01-2020,Vasant Panchami,0
09-02-2020,Guru Ravidas Jayanti,0
14-02-2020,Valentine's Day,0
18-02-2020,Maharishi Dayanand Saraswati Jayanti,0
19-02-2020,Shivaji Jayanti,0
22-02-2020,NID DAT Prelims Results out,1
21-02-2020,Maha Shivaratri/Shivaratri,0
09-03-2020,Dolyatra,0
09-03-2020,Holika Dahana,0
09-03-2020,Hazarat Ali's Birthday,0
10-03-2020,Holi,0
20-03-2020,March Equinox,0
25-03-2020,Chaitra Sukhladi,0
25-03-2020,Ugadi,0
25-03-2020,Gudi Padwa,0
02-04-2020,Rama Navami,0
06-04-2020,Mahavir Jayanti,0
09-04-2020,First day of Passover,0
09-04-2020,Maundy Thursday,0
10-04-2020,Good Friday,0
12-04-2020,Easter Day,0
13-04-2020,Vaisakhi,0
14-04-2020,Mesadi / Vaisakhadi,0
14-04-2020,Ambedkar Jayanti,0
01-05-2020,May Day,0
07-05-2020,Buddha Purnima/Vesak,0
07-05-2020,Birthday of Ravindranath,0
10-05-2020,Mother's Day,0
22-05-2020,Jamat Ul-Vida,0
25-05-2020,Ramzan Id/Eid-ul-Fitar,0
25-05-2020,Ramzan Id/Eid-ul-Fitar,0
21-06-2020,Father's Day,0
21-06-2020,June Solstice,0
23-06-2020,Rath Yatra,0
05-07-2020,Guru Purnima,0
15-07-2020,NID DAT Mains Interview,1
01-08-2020,Bakr Id/Eid ul-Adha,0
02-08-2020,Friendship Day,0
03-08-2020,Raksha Bandhan (Rakhi),0
11-08-2020,Janmashtami (Smarta),0
12-08-2020,Janmashtami,0
15-08-2020,Independence Day,0
16-08-2020,Parsi New Year,0
22-08-2020,Ganesh Chaturthi/Vinayaka Chaturthi,0
24-08-2020,NID MDes Final results out,1
30-08-2020,Muharram/Ashura,0
31-08-2020,Onam,0
11-09-2020,Orientation,1
22-09-2020,September Equinox,0
02-10-2020,Mahatma Gandhi Jayanti,0
17-10-2020,First Day of Sharad Navratri,0
22-10-2020,Maha Saptami,0
22-10-2020,First Day of Durga Puja Festivities,0
23-10-2020,Maha Ashtami,0
24-10-2020,Maha Navami,0
25-10-2020,Dussehra,0
30-10-2020,Milad un-Nabi/Id-e-Milad,0
31-10-2020,Halloween,0
31-10-2020,Maharishi Valmiki Jayanti,0
04-11-2020,Karaka Chaturthi (Karva Chauth),0
14-11-2020,Naraka Chaturdasi,0
14-11-2020,Diwali/Deepavali,0
15-11-2020,Govardhan Puja,0
16-11-2020,Bhai Duj,0
20-11-2020,Chhat Puja (Pratihar Sashthi/Surya Sashthi),0
24-11-2020,Guru Tegh Bahadur's Martyrdom Day,0
30-11-2020,Guru Nanak Jayanti,0
11-12-2020,First Day of Hanukkah,0
18-12-2020,Last day of Hanukkah,0
21-12-2020,December Solstice,0
24-12-2020,Christmas Eve,0
25-12-2020,Christmas,0
31-12-2020,New Year's Eve,0
01-01-2021,New Year's Day,0
13-01-2021,Lohri,0
14-01-2021,Pongal,0
14-01-2021,Makar Sankranti,0
20-01-2021,Guru Govind Singh Jayanti,0
26-01-2021,Republic Day,0
27-01-2021,Jury Sem 1,1
12-02-2021,Chinese New Year,0
14-02-2021,Valentine's Day,0
15-02-2021,Start of Sem 2,1
16-02-2021,Vasant Panchami,0
19-02-2021,Shivaji Jayanti,0
26-02-2021,Hazarat Ali's Birthday,0
27-02-2021,Guru Ravidas Jayanti,0
08-03-2021,Maharishi Dayanand Saraswati Jayanti,0
11-03-2021,Maha Shivaratri/Shivaratri,0
20-03-2021,March Equinox,0
28-03-2021,First day of Passover,0
28-03-2021,Dolyatra,0
28-03-2021,Holika Dahana,0
29-03-2021,Holi,0
01-04-2021,Maundy Thursday,0
02-04-2021,Good Friday,0
04-04-2021,Easter Day,0
13-04-2021,Chaitra Sukhladi,0
13-04-2021,Ugadi,0
13-04-2021,Gudi Padwa,0
14-04-2021,Vaisakhi,0
14-04-2021,Mesadi,0
14-04-2021,Ambedkar Jayanti,0
15-04-2021,Bahag Bihu/Vaisakhadi,0
21-04-2021,Rama Navami,0
25-04-2021,Mahavir Jayanti,0
01-05-2021,May Day,0
07-05-2021,Jamat Ul-Vida,0
08-05-2021,Jury Sem 2,1
09-05-2021,Mother's Day,0
09-05-2021,Birthday of Ravindranath,0
14-05-2021,Ramzan Id/Eid-ul-Fitar,0
14-05-2021,Ramzan Id/Eid-ul-Fitar,0
26-05-2021,Buddha Purnima/Vesak,0
20-06-2021,Father's Day,0
21-06-2021,June Solstice,0
12-07-2021,Rath Yatra,0
21-07-2021,Bakr Id/Eid ul-Adha,0
24-07-2021,Guru Purnima,0
01-08-2021,Friendship Day,0
15-08-2021,Independence Day,0
16-08-2021,Parsi New Year,0
20-08-2021,Muharram/Ashura,0
21-08-2021,Onam,0
22-08-2021,Raksha Bandhan (Rakhi),0
30-08-2021,Janmashtami,0
30-08-2021,Janmashtami (Smarta),0
10-09-2021,Ganesh Chaturthi/Vinayaka Chaturthi,0
13-09-2021,Start of Sem 3,1
23-09-2021,September Equinox,0
02-10-2021,Mahatma Gandhi Jayanti,0
07-10-2021,First Day of Sharad Navratri,0
11-10-2021,First Day of Durga Puja Festivities,0
12-10-2021,Maha Saptami,0
13-10-2021,Maha Ashtami,0
14-10-2021,Maha Navami,0
15-10-2021,Dussehra,0
19-10-2021,Milad un-Nabi/Id-e-Milad,0
20-10-2021,Maharishi Valmiki Jayanti,0
24-10-2021,Karaka Chaturthi (Karva Chauth),0
31-10-2021,Halloween,0
04-11-2021,Naraka Chaturdasi,0
04-11-2021,Diwali/Deepavali,0
05-11-2021,Govardhan Puja,0
06-11-2021,Bhai Duj,0
10-11-2021,Chhat Puja (Pratihar Sashthi/Surya Sashthi),0
19-11-2021,Guru Nanak Jayanti,0
24-11-2021,Guru Tegh Bahadur's Martyrdom Day,0
29-11-2021,First Day of Hanukkah,0
06-12-2021,Last day of Hanukkah,0
21-12-2021,December Solstice,0
24-12-2021,Christmas Eve,0
25-12-2021,Christmas,0
31-12-2021,New Year's Eve,0
